rainfall_1h,rainfall_3h,rainfall_24h,humidity,temperature,wind_speed,month,is_rainy_season,elevation_m,distance_to_river_km,soil_type_encoded,rain_intensity,rain_persistence,saturation_index,drainage_score,heat_humidity,city_risk,label
0.0,0.0,0.0,86.43,15.35,28.29,7,1,8.914,0.1502,2,0.0,0.0,0.8643,0.85,13.269,0.8,waspada
66.173,158.207,528.438,59.59,3.62,34.73,2,0,5.925,0.253,2,66.173,52.7357,0.5959,0.05,2.155,0.75,awas
0.0,0.0,0.0,47.85,28.88,32.79,2,0,10.53,0.3658,3,0.0,0.0,0.4785,0.35,13.82,0.15,waspada
115.052,151.307,229.069,51.1,9.07,27.21,11,0,12.618,0.2461,2,115.052,50.4356,0.511,0.15,4.636,0.3,awas
20.563,33.539,75.379,43.58,22.92,28.14,9,1,4.453,0.4932,1,20.563,11.1797,0.4358,0.35,9.99,0.15,siaga
5.255,8.717,21.104,92.89,12.31,0.87,12,0,1.579,0.2017,3,5.255,2.9056,0.9289,0.15,11.436,0.65,siaga
21.546,37.331,114.291,31.21,30.25,3.82,6,1,16.587,0.8631,3,21.546,12.4438,0.3121,0.15,9.442,0.55,siaga
9.79,15.336,48.905,46.09,10.92,26.11,6,1,1.353,0.05,3,9.79,5.1121,0.4609,0.05,5.034,0.7,siaga
0.0,0.0,0.0,40.45,12.25,4.04,2,0,12.643,0.05,1,0.0,0.0,0.4045,0.05,4.955,0.4,siaga
8.739,14.695,36.347,64.31,13.45,30.63,5,0,5.161,0.1334,3,8.739,4.8982,0.6431,0.15,8.648,0.25,siaga
30.451,71.365,239.356,86.68,5.66,1.82,7,1,11.867,0.4158,0,30.451,23.7882,0.8668,0.35,4.906,0.15,awas
3.388,8.333,23.326,64.97,21.3,30.02,2,0,1.642,0.3791,3,3.388,2.7776,0.6497,0.15,13.837,0.3,siaga
0.0,0.0,0.0,55.8,13.79,24.0,5,0,0.0,0.3984,2,0.0,0.0,0.558,0.35,7.695,0.5,siaga
2.661,6.925,18.056,84.7,25.49,18.65,11,0,6.913,0.8197,2,2.661,2.3084,0.847,0.35,21.592,0.1,siaga
18.093,41.299,148.271,39.34,35.69,33.56,2,0,3.047,0.6514,1,18.093,13.7662,0.3934,0.15,14.043,0.45,siaga
6.229,16.812,58.448,68.93,22.34,16.31,3,0,4.164,0.05,1,6.229,5.6041,0.6893,0.15,15.397,0.8,siaga
0.0,0.0,0.0,82.65,17.07,23.49,8,1,1.044,0.4773,1,0.0,0.0,0.8265,0.75,14.109,0.5,waspada
0.0,0.0,0.0,93.66,7.32,15.33,2,0,5.172,0.3811,3,0.0,0.0,0.9366,0.35,6.856,0.65,siaga
0.0,0.0,0.0,78.81,37.52,33.29,5,0,0.282,0.0533,2,0.0,0.0,0.7881,0.35,29.568,0.8,siaga
3.817,7.455,35.45,86.13,18.36,10.34,1,0,2.974,0.05,3,3.817,2.485,0.8613,0.15,15.809,0.45,siaga
1.178,3.353,6.998,97.94,5.83,23.3,11,0,0.0,0.05,2,1.178,1.1176,0.9794,0.55,5.711,0.25,siaga
6.511,12.097,55.018,30.37,3.3,1.81,8,1,3.102,0.359,2,6.511,4.0322,0.3037,0.05,1.003,0.7,siaga
6.089,14.887,67.789,43.72,3.45,4.37,11,0,7.747,0.2145,2,6.089,4.9625,0.4372,0.15,1.506,0.25,siaga
0.0,0.0,0.0,33.71,24.02,21.57,12,0,0.0,0.05,2,0.0,0.0,0.3371,0.15,8.095,0.5,waspada
1.588,4.637,13.465,83.32,18.51,22.27,12,0,0.0,0.5785,1,1.588,1.5456,0.8332,0.55,15.421,0.6,waspada
0.0,0.0,0.0,62.24,16.55,4.17,7,1,9.336,0.2006,3,0.0,0.0,0.6224,0.75,10.298,0.55,waspada
0.0,0.0,0.0,44.8,16.72,20.59,5,0,9.381,0.05,3,0.0,0.0,0.448,0.15,7.489,0.1,waspada
0.0,0.0,0.0,74.06,27.27,22.84,7,1,2.534,0.8812,2,0.0,0.0,0.7406,0.15,20.198,0.65,siaga
4.402,11.885,34.981,90.28,28.52,32.24,7,1,9.319,0.05,3,4.402,3.9616,0.9028,0.35,25.748,0.1,siaga
0.0,0.0,0.0,51.34,8.23,25.99,5,0,7.328,0.6256,1,0.0,0.0,0.5134,0.55,4.225,0.45,waspada
13.286,29.066,99.139,95.17,15.14,34.84,2,0,0.0,0.7092,2,13.286,9.6887,0.9517,0.15,14.406,0.35,siaga
6.793,20.28,49.176,86.87,7.97,34.62,2,0,4.497,0.2742,2,6.793,6.7602,0.8687,0.35,6.926,0.55,siaga
0.0,0.0,0.0,42.3,7.42,31.75,6,1,1.787,0.7365,2,0.0,0.0,0.423,0.35,3.141,0.5,waspada
5.527,14.614,31.776,87.36,10.77,22.32,2,0,7.187,0.1384,3,5.527,4.8714,0.8736,0.35,9.411,0.9,siaga
6.877,13.829,48.352,64.33,32.67,31.83,10,0,7.534,0.4988,2,6.877,4.6097,0.6433,0.35,21.017,0.45,siaga
49.651,89.747,260.06,43.03,14.2,0.87,3,0,0.0,0.2788,3,49.651,29.9156,0.4303,0.15,6.11,0.6,awas
24.375,55.623,207.674,81.78,19.19,31.62,8,1,5.31,0.05,3,24.375,18.541,0.8178,0.05,15.693,0.25,awas
13.89,22.556,46.96,49.6,37.44,25.68,12,0,13.986,0.05,3,13.89,7.5187,0.496,0.15,18.572,0.55,siaga
23.72,55.092,114.257,35.77,30.57,19.44,5,0,1.397,0.5438,3,23.72,18.3638,0.3577,0.05,10.935,0.7,siaga
0.0,0.0,0.0,80.28,33.16,28.03,10,0,6.69,0.05,3,0.0,0.0,0.8028,0.15,26.618,0.35,siaga
2.282,6.343,19.31,57.29,3.07,31.35,9,1,11.256,0.1678,0,2.282,2.1144,0.5729,0.35,1.756,0.7,siaga
21.726,54.289,140.755,35.77,8.75,11.97,11,0,1.974,0.05,3,21.726,18.0962,0.3577,0.55,3.131,0.45,siaga
0.0,0.0,0.0,92.24,16.13,17.39,8,1,3.29,0.4846,3,0.0,0.0,0.9224,0.15,14.874,0.3,siaga
17.195,30.684,116.416,58.59,14.36,33.57,8,1,0.0,0.4762,0,17.195,10.2281,0.5859,0.35,8.412,0.1,siaga
0.0,0.0,0.0,50.36,25.52,8.45,8,1,0.0,0.4446,3,0.0,0.0,0.5036,0.15,12.853,0.75,siaga
23.343,53.4,126.578,97.64,19.15,23.61,6,1,15.913,0.4261,2,23.343,17.8001,0.9764,0.15,18.693,0.4,awas
0.0,0.0,0.0,95.26,3.29,3.61,6,1,11.492,0.1623,3,0.0,0.0,0.9526,0.35,3.135,0.15,siaga
2.053,4.009,12.758,56.15,6.02,2.12,1,0,0.0,0.05,3,2.053,1.3364,0.5615,0.35,3.379,0.9,siaga
22.3,39.257,103.833,52.65,19.62,15.1,7,1,3.932,0.5105,2,22.3,13.0855,0.5265,1.0,10.331,0.85,waspada
0.0,0.0,0.0,61.33,3.75,24.9,12,0,0.0,0.05,2,0.0,0.0,0.6133,0.35,2.299,0.7,siaga
4.926,13.667,27.528,72.17,5.98,8.46,1,0,3.062,0.3834,0,4.926,4.5556,0.7217,0.55,4.318,0.25,siaga
105.308,194.874,354.36,60.9,35.08,21.12,4,0,12.988,0.4549,2,105.308,64.9582,0.609,0.05,21.363,0.7,awas
0.0,0.0,0.0,53.56,3.07,0.67,1,0,6.213,0.6749,3,0.0,0.0,0.5356,0.35,1.646,0.25,waspada
0.0,0.0,0.0,39.77,6.54,24.26,8,1,12.409,0.8187,2,0.0,0.0,0.3977,0.05,2.6,0.8,siaga
5.163,9.861,21.217,91.02,6.57,30.81,8,1,0.0,0.2846,0,5.163,3.287,0.9102,0.05,5.979,0.45,siaga
4.652,9.742,39.286,89.42,10.33,8.88,8,1,6.556,0.4174,2,4.652,3.2472,0.8942,1.0,9.234,0.9,waspada
0.0,0.0,0.0,84.13,2.45,18.21,7,1,9.5,0.2603,3,0.0,0.0,0.8413,0.35,2.06,0.15,siaga
36.668,72.229,223.927,43.57,8.42,30.06,12,0,5.557,0.1794,3,36.668,24.0763,0.4357,0.75,3.67,0.6,siaga
21.568,34.505,83.116,37.11,22.52,31.64,10,0,4.155,0.2647,3,21.568,11.5018,0.3711,0.15,8.357,0.45,siaga
3.569,8.574,41.208,51.7,16.21,21.31,11,0,2.32,0.8715,3,3.569,2.858,0.517,0.15,8.379,0.15,siaga
0.0,0.0,0.0,53.08,26.64,33.42,2,0,8.543,0.3093,3,0.0,0.0,0.5308,0.75,14.144,0.65,waspada
0.0,0.0,0.0,61.85,20.79,9.08,3,0,3.708,0.3252,2,0.0,0.0,0.6185,0.55,12.861,0.1,waspada
79.151,196.482,673.836,82.01,12.61,30.68,4,0,7.621,0.3189,3,79.151,65.4942,0.8201,0.75,10.343,0.75,awas
0.0,0.0,0.0,66.88,24.2,5.79,11,0,5.445,0.6735,3,0.0,0.0,0.6688,0.75,16.187,0.25,waspada
0.0,0.0,0.0,81.68,16.57,27.03,5,0,9.247,0.0972,3,0.0,0.0,0.8168,0.55,13.538,0.2,waspada
0.0,0.0,0.0,58.12,8.46,15.75,11,0,14.301,0.2324,1,0.0,0.0,0.5812,0.55,4.918,0.75,waspada
16.8,33.443,102.318,93.92,7.81,31.08,3,0,9.788,0.7309,3,16.8,11.1476,0.9392,0.55,7.331,0.65,siaga
0.0,0.0,0.0,41.12,36.32,19.4,6,1,2.839,0.3227,1,0.0,0.0,0.4112,0.05,14.934,0.85,siaga
0.0,0.0,0.0,57.23,18.74,18.62,8,1,8.701,0.5598,3,0.0,0.0,0.5723,0.35,10.725,0.15,waspada
18.586,41.834,150.071,33.41,14.29,11.98,12,0,5.914,0.05,3,18.586,13.9447,0.3341,0.55,4.774,0.2,siaga
0.0,0.0,0.0,34.22,12.11,16.04,12,0,4.655,0.05,3,0.0,0.0,0.3422,1.0,4.145,0.45,aman
7.625,15.358,38.882,74.88,18.6,20.99,9,1,3.469,0.3669,3,7.625,5.1194,0.7488,0.35,13.927,0.55,siaga
0.0,0.0,0.0,66.14,37.71,23.1,9,1,5.872,0.4896,3,0.0,0.0,0.6614,0.05,24.937,0.3,siaga
3.068,6.48,21.514,91.68,20.32,14.68,9,1,12.972,0.6944,3,3.068,2.1599,0.9168,0.15,18.631,0.8,siaga
12.194,26.434,59.707,43.45,13.76,27.24,1,0,5.701,0.501,3,12.194,8.8113,0.4345,0.15,5.977,0.65,siaga
2.413,5.884,17.426,77.69,21.51,33.35,3,0,2.316,0.4859,3,2.413,1.9614,0.7769,0.05,16.716,0.3,siaga
13.478,27.556,82.106,60.19,23.97,32.76,11,0,5.014,0.1499,0,13.478,9.1852,0.6019,0.35,14.426,0.35,siaga
16.17,31.636,78.473,80.66,37.22,26.76,11,0,0.188,0.05,3,16.17,10.5455,0.8066,0.05,30.018,0.65,awas
0.0,0.0,0.0,88.52,31.38,5.87,3,0,6.056,0.3355,3,0.0,0.0,0.8852,0.35,27.775,0.7,siaga
0.0,0.0,0.0,97.91,16.04,6.74,2,0,6.275,0.7335,1,0.0,0.0,0.9791,0.15,15.706,0.4,siaga
1.339,3.68,9.307,48.4,30.47,30.97,2,0,18.046,0.124,3,1.339,1.2267,0.484,0.75,14.747,0.15,waspada
24.603,44.737,130.74,65.12,37.98,3.33,12,0,1.02,0.3026,3,24.603,14.9123,0.6512,0.15,24.732,0.9,awas
21.624,43.058,163.021,58.33,31.56,11.25,10,0,6.992,0.4559,3,21.624,14.3527,0.5833,0.15,18.412,0.35,siaga
8.592,18.493,67.429,30.04,3.9,15.27,1,0,4.395,0.6401,2,8.592,6.1642,0.3004,0.35,1.172,0.7,waspada
0.0,0.0,0.0,56.82,5.34,25.82,10,0,2.781,0.05,2,0.0,0.0,0.5682,0.35,3.034,0.55,waspada
0.0,0.0,0.0,81.1,9.5,4.16,3,0,3.556,0.3011,3,0.0,0.0,0.811,0.35,7.706,0.6,siaga
78.658,186.644,427.125,60.51,25.53,13.75,2,0,9.095,0.6091,3,78.658,62.2146,0.6051,0.05,15.448,0.2,awas
0.0,0.0,0.0,78.32,31.83,0.93,7,1,2.184,0.2236,3,0.0,0.0,0.7832,0.15,24.926,0.3,siaga
2.861,6.711,27.047,56.21,22.2,9.47,10,0,0.0,0.2649,3,2.861,2.2371,0.5621,0.15,12.48,0.85,siaga
28.272,48.491,139.589,61.96,34.05,16.66,3,0,3.947,0.05,2,28.272,16.1637,0.6196,0.15,21.096,0.25,siaga
0.0,0.0,0.0,39.16,8.34,30.11,6,1,0.0,0.7455,1,0.0,0.0,0.3916,0.55,3.266,0.85,waspada
0.0,0.0,0.0,93.22,33.98,3.49,3,0,0.0,0.9845,2,0.0,0.0,0.9322,0.15,31.676,0.55,siaga
0.0,0.0,0.0,97.77,20.94,1.55,10,0,0.0,0.05,2,0.0,0.0,0.9777,0.15,20.472,0.85,siaga
0.0,0.0,0.0,63.57,19.95,33.98,12,0,1.117,0.4679,2,0.0,0.0,0.6357,0.55,12.683,0.25,waspada
0.0,0.0,0.0,70.07,33.18,12.55,2,0,0.037,0.308,2,0.0,0.0,0.7007,0.55,23.252,0.1,waspada
4.658,9.228,28.027,68.62,18.24,16.16,4,0,4.34,0.1764,3,4.658,3.0759,0.6862,0.35,12.515,0.25,siaga
23.768,49.85,166.394,81.38,22.26,9.01,3,0,12.698,0.1553,3,23.768,16.6167,0.8138,0.35,18.111,0.2,siaga
0.0,0.0,0.0,76.27,3.39,19.69,1,0,11.247,0.1875,3,0.0,0.0,0.7627,0.15,2.584,0.1,siaga
2.528,4.4,19.03,89.76,13.91,13.06,10,0,0.0,0.05,3,2.528,1.4667,0.8976,1.0,12.481,0.45,waspada
0.0,0.0,0.0,89.71,23.39,13.11,3,0,5.288,0.5536,3,0.0,0.0,0.8971,0.05,20.988,0.2,siaga
22.241,39.687,103.488,58.4,15.32,4.14,6,1,7.769,0.2247,3,22.241,13.229,0.584,0.15,8.946,0.15,siaga
0.0,0.0,0.0,55.62,26.06,21.66,2,0,2.985,0.4128,3,0.0,0.0,0.5562,0.15,14.494,0.45,siaga
24.565,38.831,128.272,94.42,5.49,14.17,5,0,5.465,0.05,1,24.565,12.9436,0.9442,0.55,5.179,0.5,siaga
13.13,31.551,65.949,95.19,37.77,1.41,7,1,2.931,0.0606,3,13.13,10.5171,0.9519,0.85,35.952,0.75,siaga
0.0,0.0,0.0,68.59,34.97,13.9,7,1,0.0,0.4058,2,0.0,0.0,0.6859,0.55,23.983,0.3,waspada
24.59,57.594,223.855,88.98,5.39,24.77,12,0,0.0,0.5586,2,24.59,19.1981,0.8898,0.55,4.8,0.75,siaga
0.0,0.0,0.0,62.84,27.37,15.97,12,0,5.823,0.4668,3,0.0,0.0,0.6284,0.05,17.202,0.75,siaga
0.0,0.0,0.0,71.63,35.5,1.23,6,1,4.471,0.6746,1,0.0,0.0,0.7163,0.15,25.432,0.3,siaga
0.0,0.0,0.0,33.34,10.51,5.38,12,0,13.312,0.4808,3,0.0,0.0,0.3334,0.05,3.504,0.2,waspada
44.135,70.199,164.189,72.01,30.82,30.24,3,0,7.473,0.3768,3,44.135,23.3998,0.7201,0.15,22.194,0.25,awas
0.0,0.0,0.0,74.42,13.55,23.55,3,0,8.856,0.3084,2,0.0,0.0,0.7442,0.35,10.081,0.55,siaga
0.0,0.0,0.0,65.33,19.92,17.79,2,0,7.273,0.5236,3,0.0,0.0,0.6533,0.55,13.011,0.25,waspada
112.83,216.341,427.396,73.36,10.21,1.78,8,1,0.0,0.6363,3,112.83,72.1138,0.7336,0.75,7.487,0.3,siaga
5.539,16.289,50.704,72.91,32.82,12.17,8,1,6.549,0.2684,2,5.539,5.4298,0.7291,0.35,23.933,0.55,siaga
6.105,17.349,48.886,38.92,28.83,6.95,3,0,8.943,0.3121,3,6.105,5.7831,0.3892,0.35,11.219,0.45,siaga
0.0,0.0,0.0,81.72,33.78,24.79,7,1,0.0,0.1828,2,0.0,0.0,0.8172,0.55,27.605,0.65,siaga
6.367,16.693,74.204,77.94,21.81,2.45,2,0,0.0,0.3985,2,6.367,5.5644,0.7794,0.35,16.998,0.6,siaga
0.0,0.0,0.0,46.38,16.11,26.31,6,1,1.169,0.1126,3,0.0,0.0,0.4638,0.55,7.474,0.75,waspada
7.004,20.999,80.648,93.24,29.47,17.43,3,0,4.34,0.4644,2,7.004,6.9997,0.9324,0.35,27.481,0.15,siaga
4.641,12.786,29.74,63.61,19.18,14.26,1,0,3.058,0.1727,3,4.641,4.2621,0.6361,0.75,12.201,0.3,waspada
7.541,15.21,55.836,57.31,13.32,9.38,11,0,7.746,0.05,3,7.541,5.07,0.5731,0.05,7.632,0.8,siaga
0.0,0.0,0.0,76.33,32.03,6.72,5,0,5.978,0.05,1,0.0,0.0,0.7633,0.05,24.447,0.25,siaga
0.0,0.0,0.0,48.78,10.47,33.76,10,0,3.271,0.1824,1,0.0,0.0,0.4878,0.15,5.107,0.1,waspada
7.956,12.395,32.523,44.49,32.06,0.15,5,0,0.0,0.3075,2,7.956,4.1315,0.4449,0.15,14.265,0.45,siaga
6.964,17.154,69.837,43.29,8.8,14.35,5,0,6.751,0.0891,3,6.964,5.718,0.4329,0.15,3.809,0.8,siaga
0.0,0.0,0.0,36.65,29.16,16.39,9,1,6.263,0.3963,3,0.0,0.0,0.3665,0.55,10.689,0.1,waspada
0.0,0.0,0.0,48.64,11.58,8.92,10,0,10.791,0.4524,2,0.0,0.0,0.4864,0.05,5.631,0.45,siaga
0.0,0.0,0.0,73.47,7.83,27.4,1,0,6.661,1.1743,2,0.0,0.0,0.7347,0.35,5.753,0.7,siaga
0.0,0.0,0.0,72.09,13.01,26.6,11,0,9.66,0.05,2,0.0,0.0,0.7209,0.75,9.378,0.2,waspada
0.0,0.0,0.0,85.79,28.81,26.23,7,1,9.423,0.05,3,0.0,0.0,0.8579,0.05,24.719,0.75,siaga
19.526,39.502,93.898,92.09,30.33,8.64,5,0,0.0,0.316,3,19.526,13.1673,0.9209,0.15,27.93,0.2,awas
0.0,0.0,0.0,62.23,24.98,34.53,5,0,0.0,0.5255,3,0.0,0.0,0.6223,0.05,15.542,0.6,siaga
0.0,0.0,0.0,50.49,33.81,26.96,12,0,4.01,0.3846,2,0.0,0.0,0.5049,0.35,17.069,0.4,waspada
0.0,0.0,0.0,63.7,22.29,1.93,9,1,5.823,0.0822,0,0.0,0.0,0.637,0.55,14.197,0.15,waspada
36.876,74.906,237.369,88.93,11.27,26.11,9,1,5.24,0.2576,3,36.876,24.9686,0.8893,0.75,10.026,0.6,awas
0.0,0.0,0.0,66.15,28.78,16.66,8,1,0.0,0.3611,3,0.0,0.0,0.6615,0.15,19.04,0.85,siaga
43.269,72.222,167.385,96.12,7.08,31.6,7,1,9.125,0.2508,2,43.269,24.0739,0.9612,0.35,6.802,0.1,awas
7.116,17.49,62.375,69.46,31.78,27.1,2,0,0.0,0.1012,3,7.116,5.8299,0.6946,0.75,22.074,0.9,waspada
13.613,29.76,110.492,40.44,11.39,8.62,10,0,1.417,0.5744,3,13.613,9.9199,0.4044,0.55,4.604,0.55,waspada
5.164,12.474,48.281,68.68,12.62,10.14,11,0,5.569,0.1525,2,5.164,4.1579,0.6868,0.15,8.668,0.35,siaga
0.0,0.0,0.0,35.9,16.73,7.78,6,1,0.0,0.0667,3,0.0,0.0,0.359,0.75,6.004,0.3,waspada
6.031,9.697,34.396,63.44,35.41,18.5,8,1,1.743,0.3216,3,6.031,3.2324,0.6344,0.35,22.463,0.85,siaga
0.0,0.0,0.0,44.75,8.51,3.33,6,1,0.0,0.5063,3,0.0,0.0,0.4475,0.05,3.809,0.5,siaga
0.0,0.0,0.0,41.38,35.88,21.93,2,0,2.496,0.05,0,0.0,0.0,0.4138,0.15,14.847,0.1,waspada
0.0,0.0,0.0,87.78,29.22,34.96,7,1,1.952,0.3277,2,0.0,0.0,0.8778,0.05,25.649,0.1,siaga
36.212,73.458,238.685,73.45,20.96,30.1,12,0,3.964,0.3511,3,36.212,24.4861,0.7345,0.05,15.399,0.9,awas
4.291,10.535,33.975,51.82,11.69,19.15,10,0,8.303,0.7676,3,4.291,3.5117,0.5182,0.05,6.057,0.45,siaga
0.659,1.301,3.292,45.5,18.07,26.58,11,0,0.0,0.1238,1,0.659,0.4335,0.455,0.55,8.219,0.45,waspada
0.0,0.0,0.0,40.57,32.56,21.23,1,0,2.503,0.5016,1,0.0,0.0,0.4057,0.15,13.207,0.25,waspada
0.0,0.0,0.0,67.37,34.54,5.25,3,0,11.063,0.6072,2,0.0,0.0,0.6737,1.0,23.268,0.45,waspada
0.0,0.0,0.0,54.46,19.18,7.85,4,0,0.919,0.05,3,0.0,0.0,0.5446,0.35,10.445,0.45,waspada
0.0,0.0,0.0,85.12,29.96,24.91,8,1,1.716,0.3304,3,0.0,0.0,0.8512,0.15,25.5,0.7,siaga
36.074,87.645,177.638,42.01,16.9,28.85,6,1,0.0,0.05,0,36.074,29.2149,0.4201,0.55,7.101,0.45,siaga
18.435,38.985,110.504,67.42,36.95,2.74,11,0,0.0,0.3097,2,18.435,12.9951,0.6742,0.05,24.909,0.75,awas
131.319,196.347,328.843,64.67,19.01,10.93,11,0,2.414,0.05,1,131.319,65.4488,0.6467,0.15,12.293,0.75,awas
7.45,14.057,57.335,87.92,15.62,8.46,11,0,1.982,0.05,3,7.45,4.6857,0.8792,0.55,13.728,0.1,waspada
0.0,0.0,0.0,81.26,19.11,9.98,1,0,2.102,0.05,3,0.0,0.0,0.8126,0.35,15.529,0.65,siaga
0.0,0.0,0.0,90.19,6.17,17.12,8,1,5.077,0.05,3,0.0,0.0,0.9019,0.05,5.567,0.7,siaga
0.0,0.0,0.0,65.49,16.92,9.79,6,1,0.328,0.4455,2,0.0,0.0,0.6549,0.75,11.078,0.75,waspada
0.0,0.0,0.0,56.8,18.44,28.36,3,0,0.0,0.531,1,0.0,0.0,0.568,1.0,10.471,0.55,waspada
0.0,0.0,0.0,83.23,5.61,32.98,6,1,0.07,0.213,3,0.0,0.0,0.8323,0.35,4.67,0.2,siaga
1.601,3.208,15.922,32.88,37.32,15.57,12,0,4.439,0.4176,2,1.601,1.0694,0.3288,0.15,12.269,0.7,waspada
39.62,79.4,169.603,38.9,19.1,1.81,12,0,0.0,0.6566,2,39.62,26.4667,0.389,0.35,7.429,0.8,awas
14.628,29.706,117.428,60.48,32.94,9.78,7,1,6.383,0.3044,3,14.628,9.9019,0.6048,0.55,19.924,0.2,siaga
0.0,0.0,0.0,75.89,8.53,9.22,9,1,7.297,0.1809,3,0.0,0.0,0.7589,0.55,6.471,0.3,waspada
0.0,0.0,0.0,91.21,9.7,11.99,7,1,13.582,0.071,3,0.0,0.0,0.9121,0.05,8.845,0.9,siaga
24.878,45.813,106.549,71.24,35.73,24.86,10,0,9.795,1.1572,3,24.878,15.2711,0.7124,0.75,25.455,0.65,siaga
0.0,0.0,0.0,32.69,11.52,3.79,12,0,2.455,0.2481,3,0.0,0.0,0.3269,1.0,3.767,0.85,aman
0.0,0.0,0.0,36.1,13.81,0.88,5,0,4.282,0.05,3,0.0,0.0,0.361,0.35,4.984,0.1,waspada
48.889,110.826,355.706,82.0,29.86,29.55,4,0,9.112,0.5331,3,48.889,36.9419,0.82,0.35,24.488,0.15,awas
18.241,42.991,94.399,32.32,25.62,26.96,2,0,0.0,0.05,3,18.241,14.3305,0.3232,0.15,8.283,0.9,siaga
48.428,88.518,243.758,89.8,17.3,9.46,5,0,5.952,0.4489,3,48.428,29.5059,0.898,0.55,15.539,0.1,awas
134.931,266.363,622.793,86.03,16.88,8.99,7,1,4.338,0.2916,2,134.931,88.7876,0.8603,0.35,14.524,0.4,awas
9.0,18.882,68.574,37.83,35.47,19.74,4,0,5.245,0.5539,2,9.0,6.2939,0.3783,0.15,13.418,0.65,siaga
5.885,12.736,31.444,42.65,34.21,11.31,12,0,4.637,0.2809,3,5.885,4.2454,0.4265,0.75,14.589,0.6,waspada
0.0,0.0,0.0,94.43,35.47,11.02,2,0,10.506,0.49,3,0.0,0.0,0.9443,0.75,33.491,0.15,waspada
0.0,0.0,0.0,32.64,4.42,22.88,9,1,2.502,0.05,2,0.0,0.0,0.3264,0.55,1.442,0.5,waspada
0.0,0.0,0.0,55.05,13.53,18.8,2,0,0.0,0.05,3,0.0,0.0,0.5505,0.05,7.446,0.5,siaga
6.289,13.007,48.941,56.39,24.57,12.09,4,0,0.0,0.311,3,6.289,4.3358,0.5639,0.55,13.856,0.35,waspada
0.0,0.0,0.0,97.1,27.14,16.04,6,1,2.528,0.1632,2,0.0,0.0,0.971,0.75,26.351,0.3,waspada
22.774,34.991,108.904,71.65,24.64,26.41,11,0,4.069,0.3034,3,22.774,11.6635,0.7165,0.15,17.655,0.2,siaga
67.032,113.94,277.839,43.9,27.34,3.28,5,0,14.929,0.3832,3,67.032,37.98,0.439,0.55,12.0,0.15,siaga
24.131,54.451,160.266,32.94,28.23,0.17,1,0,0.0,0.05,2,24.131,18.1504,0.3294,0.55,9.296,0.35,siaga
0.0,0.0,0.0,97.66,34.33,2.76,8,1,9.169,0.05,3,0.0,0.0,0.9766,0.35,33.529,0.7,siaga
0.0,0.0,0.0,32.22,35.09,2.34,6,1,6.388,0.5368,2,0.0,0.0,0.3222,0.15,11.306,0.2,waspada
10.356,19.97,67.49,69.47,19.93,13.19,7,1,4.634,0.05,2,10.356,6.6567,0.6947,0.55,13.844,0.8,siaga
0.0,0.0,0.0,49.59,28.2,25.33,1,0,15.387,0.5913,1,0.0,0.0,0.4959,0.55,13.986,0.35,waspada
16.311,32.633,129.821,67.28,10.45,14.92,11,0,0.25,0.1478,0,16.311,10.8778,0.6728,0.75,7.031,0.45,siaga
0.0,0.0,0.0,47.91,26.67,14.65,8,1,8.132,0.3838,3,0.0,0.0,0.4791,0.05,12.775,0.85,siaga
